"name","title_ca","title_es","title_en","complementary description","field_definition","openness_score","license_title","date_published","organization_parent_name_ca","organization_name_ca","package_count","frequency","geolocation","token_required","historical","api","total_resources","total_views","recent_views","total_downloads_by_ip","total_downloads_absolute","total_api_access_by_api","total_api_access_absolute","tags_list","fuente","author","department","url_tornada_ca","url_tornada_es","url_tornada_en","notes_ca","notes_es","notes_en","url_busqueda_ca","url_busqueda_es","url_busqueda_en","dades_alt_valor","Agenda_2030_ODS_Principal","Agenda_2030_ODS_Colateral1","Agenda_2030_ODS_Colateral2","qpj","prj","application/x-7z-compressed","qml","txt","xml","bdf","qgz","zip","wms","kml","geojson","json","html","dwg","ics","tif","csv","kmz","xlsx","rdf-linked","sbx","dgn","dat",".jpg, .eps","dbase","gtfs","gpkg","sbn","shp","application/vnd.ms-pki.seccat","rds","shx","cpg","wmts","xls","long_format","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"20170706-districtes-barris","Unitats administratives  de la ciutat de Barcelona","Unidades administrativas de la ciudad de Barcelona","Administrative units of the city of Barcelona","S","S","3","Creative Commons Attribution 4.0","2017-07-06","Administració","Sector públic","92","PETICIO_NEGOCI","Yes_no_map_view","No","Yes","Yes","26","16650","157","46895","75425","904","6712","AEB, Alt Valor, Any 1996, Any 2010, Any 2014, Barris, Barris Barcelona, CartoBCN, Cartografia, Classificacions, Codis, Districtes, Seccions censals, Unitats administratives, Unitats territorials","Ajuntament de Barcelona","Gerència Municipal","Oficina Municipal de Dades","https://w20.bcn.cat/cartobcn/","https://w20.bcn.cat/cartobcn/default.aspx?lang=es","https://w20.bcn.cat/cartobcn/default.aspx?lang=en","Detall de les unitats administratives  de la ciutat de Barcelona:  districtes, barris, àrea interès, àrees estadístiques bàsiques (AEB) i seccions censals  ","Detalle de las unidades administrativas  de la ciudad de Barcelona:  distritos, barrios, área interés, áreas estadísticas básicas (AEB) y secciones censales  ","Detail of administrative units of the city of Barcelona : districts, neighbourhoods, Interés area, basic statistical areas (AEB) and census areas","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=20170706-districtes-barris","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=20170706-districtes-barris","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=20170706-districtes-barris","Geoespacial","ODS 11: Ciutats i comunitats sostenibles","N/A","N/A","N","N","N","N","N","S","N","N","N","S","N","S","S","N","S","N","N","S","S","N","N","N","S","N","N","N","N","N","N","S","N","N","N","N","N","N","Yes","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N"
"accessibilitat-via-publica","Accessibilitat a la via pública de la ciutat de Barcelona","Accesibilidad en la vía pública de la ciudad de Barcelona","Streets' accessibility in Barcelona city","S","S","3","Creative Commons Attribution 4.0","2019-11-15","Territori","Urbanisme i infraestructures","67","PETICIO_NEGOCI","Yes_with_map_view","No","Yes","Yes","3","3963","31","4116","5160","392","743","Accessibilitat, Any 2019, Any 2021, Any 2022, Discapacitat, Estacionament reservat, Guals, Obstacles, Paviment, Pendent, Persones discapacitades, Podotàctil","Ajuntament de Barcelona ","Institut Municipal de Persones amb Discapacitat","Planificació i Avaluació","http://ajuntament.barcelona.cat/accessible/","http://ajuntament.barcelona.cat/accessible/es/","http://ajuntament.barcelona.cat/accessible/es/","Llista geolocalitzada dels paràmetres d'accessibilitat de la ciutat de Barcelona.  ","Lista geolocalizada de los parámetros de accesibilidad de la ciudad de Barcelona","Accessibility parameters  geolocated list in the city of  Barcelona","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accessibilitat-via-publica","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accessibilitat-via-publica","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accessibilitat-via-publica","","ODS 11: Ciutats i comunitats sostenibles","ODS 10: Reducció de les desigualtats","N/A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","S","S","N","N","N","N"
"accidents-causes-gu-bcn","Accidents segons causa mediata gestionats per la Guàrdia Urbana a la ciutat de Barcelona","Accidentes según causa mediata gestionados por la Guàrdia Urbana en la ciudad de Barcelona","Accidents by mediate cause managed by the Guàrdia Urbana in the city of Barcelona","S","S","3","Creative Commons Attribution 4.0","2015-11-19","Ciutat i serveis","Seguretat","7","ANUAL","Yes_with_map_view","No","Yes","Yes","22","7168","19","36056","68865","5820","6927","Accidentalitat, Any 2010, Any 2011, Any 2012, Any 2013, Any 2014, Any 2015, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Causa mediata, Guàrdia Urbana","Ajuntament de Barcelona","Gerència d’Àrea de Seguretat, Prevenció i Convivència","Sistemes d'Informació i Telecomunicacions","http://ajuntament.barcelona.cat/guardiaurbana/ca ","http://ajuntament.barcelona.cat/guardiaurbana/es ","http://ajuntament.barcelona.cat/guardiaurbana/en ","Relació dels accidents segons causa mediata gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir una o més causes mediates les quals fan referència a factors externs del resultat en temps, lloc o grau (Ex: Alcoholèmia i Excés de velocitat o  velocitat inadequada)        ","Relación de los accidentes según causa mediata gestionada por la Guàrdia Urbana en la ciudad de Barcelona. Un accidente puede tener una o más causas mediatas que hacen referencia a factores externos del resultado en tiempo, lugar o grado (Ej: Alcoholemia y Exceso de velocidad o velocidad inadecuada)","List of accidents by mediate cause managed by the Guàrdia Urbana in the city of Barcelona. An accident may have one or more mediate causes that refer to external factors of the result in time, place or degree (Ex: Breathalyzer and Speeding or inappropriate speed)   ","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-causes-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-causes-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-causes-gu-bcn","No","ODS 3: Salut i benestar","N/A","N/A","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","N"
"accidents-gu-bcn","Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona","Accidentes gestionados por la Guardia Urbana  en la ciudad de Barcelona","Accidents managed by the local police in the city of Barcelona","S","S","3","Creative Commons Attribution 4.0","2015-06-10","Ciutat i serveis","Seguretat","7","ANUAL","Yes_with_map_view","No","Yes","Yes","22","10855","41","37419","54032","9049","11246","Accidentalitat, Any 2010, Any 2011, Any 2012, Any 2013, Any 2014, Any 2015, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Guàrdia Urbana","Aplicació Accidents","Gerència de Seguretat i Prevenció","Sistemes d'Informació","http://ajuntament.barcelona.cat/guardiaurbana/ca","http://ajuntament.barcelona.cat/guardiaurbana/es ","http://ajuntament.barcelona.cat/guardiaurbana/en ","Llistat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Incorpora el número de lesionats segons gravetat, el número de vehicles implicats i el punt d'impacte.  ","Listado de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Incorpora el número de lesionados segun gravedad, el número de vehículos y el punto de impacto.  ","List of accidents handled by the local police in the city of Barcelona. Incorporates the number of injuries by severity, the number of vehicles and the point of impact. ","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-gu-bcn","No","ODS 3: Salut i benestar","N/A","N/A","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","N"
"accidents-persones-gu-bcn","Persones involucrades en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona","Personas involucradas en  accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona","People involved in accidents managed by the Police in the city of Barcelona ","S","S","3","Creative Commons Attribution 4.0","2015-11-19","Ciutat i serveis","Seguretat","7","ANUAL","Yes_with_map_view","No","Yes","Yes","16","6008","26","23356","29726","4573","5767","Accidentalitat, Any 2010, Any 2011, Any 2012, Any 2013, Any 2014, Any 2015, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Guàrdia Urbana, Persones","Ajuntament de Barcelona","Gerència de Seguretat i Prevenció","Sistemes d'Informació","http://ajuntament.barcelona.cat/guardiaurbana/ca ","http://ajuntament.barcelona.cat/guardiaurbana/es ","http://ajuntament.barcelona.cat/guardiaurbana/en","Llistat de les persones que han estat involucrades en un accident gestionats per la Guàrdia Urbana a la ciutat de Barcelona i que han sofert algun tipus de lesió ( ferit lleu, ferit greu o mort). Inclou descripció de la persona (conductor, passatger o vianant), sexe, edat, vehicle associat a la persona i si la causa ha sigut del vianant.  ","Personas involucradas en un accidente gestionado por la Guardia Urbana en la ciudad de Barcelona y que han sufrido algún tipo de lesión ( herido leve , herido grave o muerte). Incluye descripción de la persona ( conductor, pasajero o peatón ) , sexo , edad , vehículo asociado a la persona y si la causa ha sido del peatón. ","List of people who have been involved in an accident managed by the Police in the city of Barcelona have suffered some type of injury ( slightly wounded, serious injuries or death). It includes a description of the person ( driver, passenger or pedestrian), sex, age, vehicle associated person if the cause was pedestrian.  ","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-persones-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-persones-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-persones-gu-bcn","No","ODS 3: Salut i benestar","N/A","N/A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","N"
"accidents-tipus-gu-bcn","Accidents segons tipologia  gestionats per la Guàrdia Urbana a la ciutat de Barcelona  ","Accidentes según tipología gestionados por la Guàrdia Urbana en la ciudad de Barcelona","Accidents  by type managed by the Guàrdia Urbana in the city of Barcelona ","S","S","3","Creative Commons Attribution 4.0","2015-11-19","Ciutat i serveis","Seguretat","7","ANUAL","Yes_with_map_view","No","Yes","Yes","22","6807","11","33334","115447","10735","22538","Accidentalitat, Any 2010, Any 2011, Any 2012, Any 2013, Any 2014, Any 2015, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Guàrdia Urbana, Tipus","Ajuntament de Barcelona","Gerència d’Àrea de Seguretat, Prevenció i Convivència","Sistemes d'Informació i Telecomunicacions","http://ajuntament.barcelona.cat/guardiaurbana/ca ","http://ajuntament.barcelona.cat/guardiaurbana/es ","http://ajuntament.barcelona.cat/guardiaurbana/en","Relació d'accidents segons tipologia gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot estar tipificat  amb vàries tipologies ( Ex: xoc contra element estàtic i col·lisió front-lateral)","Relación de accidentes según tipología gestionados por la Guàrdia Urbana en la ciudad de Barcelona. Un accidente puede estar tipificado con varias tipologías ( Ej: choque contra elemento estático y colisión frente-lateral)","List of accidents by type managed by the Guàrdia Urbana in the city of Barcelona. An accident can be typified with several typologies (Ex: collision against static element and front-lateral collision)","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-tipus-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-tipus-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-tipus-gu-bcn","No","ODS 3: Salut i benestar","N/A","N/A","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","N"
"accidents-vehicles-gu-bcn","Vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona","Vehículos implicados en accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona","Vehicles involved in accidents handled by the police in the city of Barcelona ","S","S","3","Creative Commons Attribution 4.0","2015-11-19","Ciutat i serveis","Seguretat","7","ANUAL","Yes_with_map_view","No","Yes","Yes","22","6600","18","34617","45050","6393","7754","Accidentalitat, Any 2010, Any 2011, Any 2012, Any 2013, Any 2014, Any 2015, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Guàrdia Urbana, Vehicles","Ajuntament de Barcelona","Gerència d’Àrea de Seguretat, Prevenció i Convivència","Sistemes d'Informació i Telecomunicacions","http://ajuntament.barcelona.cat/guardiaurbana/ca ","http://ajuntament.barcelona.cat/guardiaurbana/es","http://ajuntament.barcelona.cat/guardiaurbana/en ","Llistat dels vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir associat més d’un vehicle. Inclou si la causa és del vianant, el tipus de vehicle, model, marca, color i tipus carnet i antiguitat de la persona que ho conduïa.  ","Listado de los vehículos implicados en accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede tener asociado más de un vehículo. Incluye si la causa es del peatón, el tipo de vehículo , modelo, marca , color y tipo carnet y antigüedad de la persona que lo conducía. ","List of vehicles involved in accidents handled by the police in the city of Barcelona . An accident may be associated with more than one vehicle. Including whether the cause is pedestrian , vehicle type , model , brand, color and license type and age of the person who was driving.  ","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-vehicles-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-vehicles-gu-bcn","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-vehicles-gu-bcn","No","ODS 3: Salut i benestar","N/A","N/A","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","N"
"accidents_causa_conductor_gu_bcn","Accidents segons causa conductor  gestionats per la Guàrdia Urbana a la ciutat de Barcelona  ","Accidentes  según causa conductor gestionados por la Guàrdia Urbana a la ciutat de Barcelona","Accidents by driver cause managed by the Guàrdia Urbana in the city of Barcelona","S","S","3","Creative Commons Attribution 4.0","2023-02-14","Ciutat i serveis","Seguretat","7","ANUAL","Yes_with_map_view","No","Yes","Yes","10","4247","43","7744","10430","3162","6371","Accidentalitat, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Causa conductor, Guàrdia Urbana","Ajuntament de Barcelona","Gerència d’Àrea de Seguretat, Prevenció i Convivència","Sistemes d'Informació i Telecomunicacions","http://ajuntament.barcelona.cat/guardiaurbana/ca","http://ajuntament.barcelona.cat/guardiaurbana/es","http://ajuntament.barcelona.cat/guardiaurbana/en","Accidents segons causa conductor  gestionats per la Guàrdia Urbana a la ciutat de Barcelona  ","Accidentes  según causa conductor gestionados por la Guàrdia Urbana a la ciutat de Barcelona","Accidents by driver cause managed by the Guàrdia Urbana in the city of Barcelona","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents_causa_conductor_gu_bcn","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents_causa_conductor_gu_bcn","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents_causa_conductor_gu_bcn","No","ODS 3: Salut i benestar","N/A","N/A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","N"
"accions-formatives-adrecades-al-personal","Accions formatives adreçades al personal municipal de la ciutat de Barcelona","Acciones formativas dirigidas al personal municipal de la ciudad de Barcelona","Formative activities aimed at municipal employees of the city of Barcelona","N","S","3","Creative Commons Attribution 4.0","2017-06-08","Administració","Recursos humans","6","ANUAL","No","No","Yes","Yes","10","2147","12","8621","9324","1123","1216","Activitats formació, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Any 2026","Direcció de Serveis de Desenvolupament i Atenció al Personal","Gerència de Recursos Humans i Organització","Departament de Desenvolupament","http://ajuntament.barcelona.cat/transparencia/ca/informacio-institucional-i-organitzativa#formaciovigent","http://ajuntament.barcelona.cat/transparencia/es/informacion-institucional-y-organizativa#formacionvigente","http://ajuntament.barcelona.cat/transparencia/es/informacion-institucional-y-organizativa#formacionvigente","Llista de les accions de formació transversals planificades, adreçades al personal municipal, formulades d’acord amb els objectius i projectes propis de cada àmbit municipal.     ","Lista de las acciones de formación transversales planificadas, dirigidas al personal municipal, formuladas de acuerdo con los objetivos y proyectos propios de cada ámbito municipal.      ","List of planned transversal training activities aimed at municipal employees, ie, the formation to which all municipal employees can access, regardless of their municipal area. The activities are formulated in accordance with the objectives and projects of each municipal area.     ","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accions-formatives-adrecades-al-personal","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accions-formatives-adrecades-al-personal","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accions-formatives-adrecades-al-personal","No","ODS 8: Treball digne i creixement econòmic","ODS 4: Educació de qualitat","N/A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S"
"acollida-animals","Nombre d'entrades i sortides d'animals al Centre d'Acollida d'Animals de Companyia de Barcelona","Número de entradas y salidas de animales en el Centro de Acogida de Animales de Compañia de Barcelona","Animals entry and exit number in Barcelona Pet Animals Welfare Center","N","S","3","Creative Commons Attribution 4.0","2015-11-20","Ciutat i serveis","Medi ambient","76","MENSUAL","No","No","Yes","Yes","16","2878","10","14289","33313","386","495","Animals, Any 2011, Any 2012, Any 2013, Any 2014, Any 2015, Any 2016, Any 2017, Any 2018, Any 2019, Any 2020, Any 2021, Any 2022, Any 2023, Any 2024, Any 2025, Any 2026, Gats, Gossos","Programa de gestió del CAACB","Gerència d'Ecologia, Urbanisme i Mobilitat","Gerència adjunta de Medi Ambient i Serveis Urbans","http://www.bcn.cat/adopta","http://ajuntament.barcelona.cat/adopta/es/","http://ajuntament.barcelona.cat/adopta/es/","Nombre de gossos i gats gestionats pel Centre d'Acollida d'Animals de Companyia de Barcelona (CAACB). Les dades detallen els recollits de la via pública, els rescatats pel seu propietari i els adoptats.","Número de perros y gatos gestionados por el Centro de Acogida de Animales de Compañía de Barcelona (CAACB). Los datos detallan los recogidos de la vía pública, los rescatados por su propietario y los adoptados.","Dogs and cats number managed by the Barcelona Pet Animals Welfare Center (CAACB). The data show those who have been collected from the public road, rescued by its owner or adopted.","https://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=acollida-animals","https://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=acollida-animals","https://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=acollida-animals","No","ODS 15: Vida terrestre","N/A","N/A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","No","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
